,action,reward,self.observation,self.state
55,12.0,1.5519707237014497,[  8.73 -40.81 277.    99.  ],"[0.3197, 0.3206, 0.26, 0.26]"
56,4.0,1.4840838509316772,[  1.64 -52.82 165.    64.  ],"[0.27, 0.28, 0.23, 0.23]"
57,12.0,1.4920497636966263,[ 13.71  29.65 315.    29.  ],"[0.26, 0.24, 0.2868, 0.2853]"
58,60.0,1.1964830367941746,[ 17.46  15.7   73.   104.  ],"[0.21, 0.2, 0.2131, 0.34600000000000003]"
59,60.0,1.25201404199449,[ 18.88   1.07 385.   130.  ],"[0.24, 0.22, 0.2606, 0.2626]"
60,12.0,1.430337589786406,[ 17.81 -13.6  247.   141.  ],"[0.2021, 0.2889, 0.26, 0.26]"
61,0.0,1.5403779644268774,[ 14.38 -27.7   14.   126.  ],"[0.25, 0.23, 0.22, 0.24]"
62,0.0,1.4017857142857142,[  8.91 -40.8    0.    58.  ],"[0.21, 0.2, 0.2, 0.21]"
63,0.0,-0.22596100587127493,[17.6  15.82  5.   91.  ],"[0.22, 0.21, 0.2321, 0.4012]"
64,11.0,1.1968501464488819,[ 19.04   1.17  17.   123.  ],"[0.2, 0.2, 0.3341, 0.2184]"
65,18.0,1.3006463547930092,[ 17.99 -13.54  20.   136.  ],"[0.3008, 0.2429, 0.21, 0.23]"
66,0.0,1.5403779644268774,[ 14.56 -27.67  18.   126.  ],"[0.25, 0.23, 0.22, 0.24]"
67,0.0,1.4017857142857142,[  9.09 -40.8    0.    59.  ],"[0.21, 0.2, 0.2, 0.21]"
68,0.0,1.4017857142857142,[17.75 15.94  0.   55.  ],"[0.21, 0.2, 0.2, 0.21]"
69,0.0,1.4395292207792207,[19.2   1.26  0.   77.  ],"[0.22, 0.2, 0.21, 0.22]"
70,0.0,1.452922077922078,[ 18.17 -13.49   0.    85.  ],"[0.22, 0.21, 0.21, 0.22]"
71,0.0,1.452922077922078,[ 14.75 -27.65   0.    79.  ],"[0.22, 0.21, 0.21, 0.22]"
72,0.0,1.4017857142857142,[  9.28 -40.81   0.    59.  ],"[0.21, 0.2, 0.2, 0.21]"
73,0.0,1.4017857142857142,[17.9  16.06  0.   56.  ],"[0.21, 0.2, 0.2, 0.21]"
74,0.0,1.4395292207792207,[19.37  1.35  0.   77.  ],"[0.22, 0.2, 0.21, 0.22]"
75,60.0,0.04054406850459466,[ 18.35 -13.44   0.    86.  ],"[0.19, 0.19, 0.19, 0.19]"
76,0.0,1.452922077922078,[ 14.94 -27.63   0.    80.  ],"[0.22, 0.21, 0.21, 0.22]"
77,0.0,1.4017857142857142,[  9.47 -40.82   0.    60.  ],"[0.21, 0.2, 0.2, 0.21]"
78,12.0,1.4271143695485802,[14.23 30.22 82.   49.  ],"[0.22, 0.21, 0.2926, 0.2912]"
79,12.0,1.4085491001951007,[ 18.06  16.18  77.   109.  ],"[0.23, 0.22, 0.25, 0.2781]"
80,60.0,1.2348831245102385,[ 19.55   1.43  99.   144.  ],"[0.22, 0.2, 0.2789, 0.2832]"
81,56.0,1.2523682664132103,[ 18.54 -13.39 337.   143.  ],"[0.29600000000000004, 0.2225, 0.22, 0.24]"
82,60.0,1.187698225910834,[ 15.13 -27.62 117.   145.  ],"[0.2465, 0.2565, 0.2, 0.22]"
83,12.0,1.4422901598550422,[  9.67 -40.84 102.   112.  ],"[0.27, 0.2724, 0.23, 0.24]"
84,0.0,1.6984591013824883,[  2.57 -52.96  72.    75.  ],"[0.35, 0.31, 0.24, 0.25]"
85,14.0,1.339667761801522,[ 18.23  16.3  263.   117.  ],"[0.23, 0.23, 0.3, 0.3329]"
86,44.0,1.2713554858326106,[ 19.74   1.52 283.   122.  ],"[0.23, 0.21, 0.3402, 0.2382]"
87,60.0,1.192564638766571,[ 18.73 -13.34 126.   154.  ],"[0.2572, 0.2512, 0.2, 0.22]"
88,4.0,1.6116337636559508,[ 15.33 -27.61 288.   126.  ],"[0.28800000000000003, 0.3114, 0.28, 0.29]"
89,0.0,1.5068958215697346,[  9.86 -40.86  17.   102.  ],"[0.25, 0.22, 0.21, 0.23]"
90,0.0,1.4017857142857142,[  2.76 -53.     0.    57.  ],"[0.21, 0.2, 0.2, 0.21]"
91,0.0,1.4017857142857142,[18.4  16.42  0.   59.  ],"[0.21, 0.2, 0.2, 0.21]"
92,0.0,1.452922077922078,[19.93  1.6   0.   81.  ],"[0.22, 0.21, 0.21, 0.22]"
93,0.0,1.452922077922078,[ 18.94 -13.3    0.    90.  ],"[0.22, 0.21, 0.21, 0.22]"
94,0.0,1.452922077922078,[ 15.54 -27.6    0.    84.  ],"[0.22, 0.21, 0.21, 0.22]"
95,0.0,1.4017857142857142,[ 10.07 -40.88   0.    64.  ],"[0.21, 0.2, 0.2, 0.21]"
96,4.0,1.383496248709772,[18.58 16.53  6.   99.  ],"[0.21, 0.2, 0.21, 0.3091]"
